salon_id,source_id,salon_name,salon_name_kana,salon_type,business_type,access,business_hours,reception_hours,base_price,base_duration,phone,official_url,domain,therapist_count_portal,therapist_count_official,description,service_tags,image_url,source,created_at,updated_at
64,ab692482-d923-4e3a-abcf-b7b032dd6365,小悪魔Spa Tokyo 恵比寿ルーム,スパトーキョー,メンエス,店舗,恵比寿駅,11:00～翌 05:00,10:00～翌4:00,14000,60,050-5491-2646,https://mens-esthe-aroma.site/,mens-esthe-aroma.site,28,,,"オイル,ホットオイル",,esthe-ranking,2026-02-06 08:52:17,2026-02-06 08:52:17
65,a1a469e5-8fa6-4f66-a657-f33b7b9d8bf6,TOKYOエステ,トーキョーエステ,メンエス,店舗,中目黒駅,11:00～翌 03:00,,18000,90,070-9095-5582,https://www.tokyoesthe.tokyo/,tokyoesthe.tokyo,10,,,"アロマ,オイル",,esthe-ranking,2026-02-06 08:52:19,2026-02-06 08:52:19
66,532ef5a7-cb9e-4076-a516-a3e5391501f0,aroma vicca,アロマヴィッカ,メンエス,店舗,恵比寿駅東口徒歩5分,09:30～翌 05:00,,12000,60,080-3605-0128,https://aromavicca.net/,aromavicca.net,19,,,"アロマ,オイル,タイ式,ロミロミ,ヘッド,ホットオイル,ホットストーン,ストレッチ,Wセラピ,脱毛,ワンルーム,完全個室,キャッシュレス",,esthe-ranking,2026-02-06 08:52:21,2026-02-06 08:52:21
67,e661ccde-f169-4a7c-9b32-e2a002b6d0e8,EMPRESS,エンプレス,メンエス,店舗,恵比寿駅,12:00～24:00,11:00～23:00,14000,60,070-8943-8684,https://empress-ebisu.net/,empress-ebisu.net,4,,,"オイル,リンパ,ホットオイル,キャッシュレス",,esthe-ranking,2026-02-06 08:52:24,2026-02-06 08:52:24
68,b970b985-c2fe-4462-a1d6-f52f71222a6d,emoSPA,エモスパ,メンエス,店舗,恵比寿駅徒歩2分,12:00～翌 05:00,,18000,90,080-4800-8598,https://t5h.info/emospa02,t5h.info,12,,,"オイル,リンパ,パウダー,ホイップ,キャッシュレス",,esthe-ranking,2026-02-06 08:52:27,2026-02-06 08:52:27
69,230bcf75-3aa2-4d13-afe4-ed3bd3a54bc9,恵比寿フェラーリ,,メンエス,店舗,恵比寿駅徒歩5分,10:00～翌 05:00,,28000,90,050-5527-2200,http://ebis-ferrari.com/,ebis-ferrari.com,4,,,オイル,,esthe-ranking,2026-02-06 08:52:30,2026-02-06 08:52:30
70,eee746a7-ae26-4dc9-b9f6-52549339decd,MaroAri TAHHA（マロアリ・タッハ） 中目黒店,マロアリ・タッハ,メンエス,店舗,中目黒駅徒歩5分,11:00～翌 05:00,10:30～翌3:30,18000,90,070-4306-2343,https://tahha.tokyo/,tahha.tokyo,11,,,オイル,,esthe-ranking,2026-02-06 08:52:32,2026-02-06 08:52:32
71,91ea7d89-39a6-4ef9-9d1c-ade57e974606,Lino Ebisu,リノエビス,メンエス,店舗,恵比寿駅西口徒歩2分,12:00～翌 02:00,,19000,90,070-1239-7788,https://www.linoebisu.com/,linoebisu.com,13,,,オイル,,esthe-ranking,2026-02-06 08:52:33,2026-02-06 08:52:33
72,54d910e2-1f9c-4288-9eba-680fbef3c000,Candy Spa（キャンディースパ） 恵比寿,キャンディースパ,メンエス,店舗,恵比寿駅,11:00～翌 05:00,10:00～翌3:00,16000,60,080-9524-4727,https://candy-s-candy.men-es.jp/,candy-s-candy.men-es.jp,12,,,"アロマ,オイル,リンパ,パウダー,ヘッド,コスプレ,キャッシュレス",,esthe-ranking,2026-02-06 08:52:36,2026-02-06 08:52:36
73,5dfd95b8-1d0f-49bc-a2a5-e6ebd672ce1a,&LS,アンドルクス,メンエス,店舗,恵比寿駅,11:00～翌 04:30,,16000,70,070-1531-6554,https://andls-salon.com/,andls-salon.com,5,,,"オイル,リンパ,パウダー,ヘッド,足裏,ホットオイル,フェイシャル,ストレッチ,脱毛,ワンルーム,完全個室,キャッシュレス,領収書",,esthe-ranking,2026-02-06 08:52:37,2026-02-06 08:52:37
